definition_key,defining_subtopic,slug,sha256,links
260-10 Weighted-AverageNumberofCommonSharesOutstanding,260-10,weighted-average-number-of-common-shares-outstanding,4533d164fbb2e2ccb57e342f7c97eed99f4c406c5508cd8cbd98e477616daa2e,1
270-10 PubliclyTradedCompany,270-10,publicly-traded-company,eebbafe8284233e8147497f053ac51c5bc992619da10ef7e5191b6c50f179f2b,7
275-10 NearTerm,275-10,near-term,10a537cae7df615668617c6da8fc979d8d67e355d6531f7ec48729dccb4e1520,3
275-10 SevereImpact,275-10,severe-impact,73a7e91185a2d7ac516284e5903b9df018a154a3b5537c30b8f8b31c8b52ef12,2
280-10 OperatingSegment,280-10,operating-segment,d1961c760b5eb9c8e47f8f95e812f6138c9ee9bc3be4b74d57673a69f4e7d98c,5
280-10 PublicBusinessEntity_PublicEntity_,280-10,public-entity,494a2dd34c6951c9acdd97a57547dc53a528af0f6099994d36e270dc02aa8922,26
310-10 EffectiveInterestRate,310-10,effective-interest-rate,e72ef81e653536d3700993fc12eb3db58f1f8d3704b3a9b7d14ef442f4995771,27
310-10 ExpectedResidualProfit,310-10,expected-residual-profit,74c06b3dc70a270fc97cbafe577172bf11a05c10bf52768134235ac45a470659,6
310-10 Loan,310-10,loan,2b6883c3815c54ada9f3c9dc98cf9f45e780658f3c7e489a4c627124a293ad20,22
310-10 RecordedInvestment,310-10,recorded-investment,ea71a1f55e936fe87d293c7e8c0bbc500bdd6c84742f4d233a5b5e8784288e20,7
310-10 StandbyLetterofCredit,310-10,standby-letter-of-credit,8c99c9374405cc3a3f49f8180f04cd70f167a33906ff854fdb8d8462745b1249,3
310-20 Blended-RateLoans,310-20,blended-rate-loans,c772b214192270713973c4b44eec11067ab84d12d1bda1122eb99fb72c0c7832,1
310-20 CommitmentFees,310-20,commitment-fees,a154b562db3e9686be23b554916c2ae85489872121ac5678f658f9f414a54636,6
310-20 CreditCardFees,310-20,credit-card-fees,0643bd54dd1b37e8ca11801c30f9dd3caebf5cf7e168c874dd7ceb7ae49214d7,4
310-20 DirectLoanOriginationCosts,310-20,direct-loan-origination-costs,840c7bafb8d34293caac17d49d6a41b57b20f0cea864bc434017ee7b5b76de4f,4
310-20 IdleTime,310-20,idle-time,e5006e3f94e3e8537ce0e8b2dbb3b191792e3f68b1099e28dad81726d1fabadb,1
310-20 IncrementalDirectCosts,310-20,incremental-direct-costs,28e51267c0ae2642f4c546e36adfd742086a693a53e9aeb7c5a6abc8becb8e54,1
